"Step","a3c_Frostbite_runseed=0 - training/episode/reward","a3c_Frostbite_runseed=0 - training/episode/reward__MIN","a3c_Frostbite_runseed=0 - training/episode/reward__MAX"
"8000","0","0","0"
"8096","0","0","0"
"10816","50","50","50"
"11104","50","50","50"
"11264","60","60","60"
"11584","90","90","90"
"11712","100","100","100"
"11904","100","100","100"
"13024","80","80","80"
"13280","40","40","40"
"13536","80","80","80"
"13792","40","40","40"
"15328","50","50","50"
"17504","10","10","10"
"17824","70","70","70"
"19808","40","40","40"
"21248","110","110","110"
"22080","70","70","70"
"23264","80","80","80"
"23296","40","40","40"
"24192","60","60","60"
"24224","90","90","90"
"25760","60","60","60"
"26016","80","80","80"
"26304","100","100","100"
"26560","60","60","60"
"26688","90","90","90"
"27264","110","110","110"
"27776","110","110","110"
"29216","190","190","190"
"29344","170","170","170"
"31040","40","40","40"
"34080","70","70","70"
"35488","120","120","120"
"35808","10","10","10"
"36096","90","90","90"
"36864","60","60","60"
"37792","50","50","50"
"38304","80","80","80"
"38432","60","60","60"
"39136","100","100","100"
"39200","70","70","70"
"39456","110","110","110"
"39712","60","60","60"
"40480","90","90","90"
"41248","150","150","150"
"41632","120","120","120"
"41696","70","70","70"
"41920","200","200","200"
"44032","50","50","50"
"44928","80","80","80"
"45152","60","60","60"
"46048","0","0","0"
"46816","120","120","120"
"48992","60","60","60"
"49856","30","30","30"
"50080","90","90","90"
"50464","60","60","60"
"51552","90","90","90"
"55136","190","190","190"
"55552","10","10","10"
"59360","50","50","50"
"59488","140","140","140"
"59904","50","50","50"
"60512","70","70","70"
"61952","140","140","140"
"62368","60","60","60"
"62464","70","70","70"
"62752","20","20","20"
"63040","100","100","100"
"64608","160","160","160"
"65312","60","60","60"
"65824","60","60","60"
"66624","90","90","90"
"66752","40","40","40"
"66976","170","170","170"
"68032","60","60","60"
"69088","140","140","140"
"69184","100","100","100"
"70592","150","150","150"
"72160","30","30","30"
"72640","120","120","120"
"72960","140","140","140"
"74016","60","60","60"
"74176","60","60","60"
"75040","110","110","110"
"75168","80","80","80"
"76288","90","90","90"
"76512","90","90","90"
"77536","160","160","160"
"78176","120","120","120"
"78752","180","180","180"
"79360","70","70","70"
"80192","90","90","90"
"80768","180","180","180"
"81344","110","110","110"
"82368","30","30","30"
"82944","130","130","130"
"83488","90","90","90"
"84128","80","80","80"
"84608","80","80","80"
"86432","170","170","170"
"87616","130","130","130"
"87712","50","50","50"
"87872","90","90","90"
"90944","40","40","40"
"91968","80","80","80"
"92224","150","150","150"
"92320","110","110","110"
"92928","110","110","110"
"93184","120","120","120"
"93664","100","100","100"
"94240","120","120","120"
"95808","130","130","130"
"96384","170","170","170"
"96608","80","80","80"
"98144","100","100","100"
"98304","60","60","60"
"98624","120","120","120"
"100256","70","70","70"
"102144","110","110","110"
"102592","190","190","190"
"102720","70","70","70"
"102880","150","150","150"
"103424","80","80","80"
"103456","110","110","110"
"103808","80","80","80"
"104448","50","50","50"
"105504","130","130","130"
"106816","80","80","80"
"107360","30","30","30"
"109632","190","190","190"
"110432","130","130","130"
"110784","80","80","80"
"110880","90","90","90"
"111776","60","60","60"
"113792","150","150","150"
"114112","150","150","150"
"114400","130","130","130"
"115168","90","90","90"
"115328","140","140","140"
"116000","160","160","160"
"116800","100","100","100"
"117280","130","130","130"
"118240","180","180","180"
"119680","160","160","160"
"120192","90","90","90"
"120832","100","100","100"
"121152","70","70","70"
"121632","120","120","120"
"121792","100","100","100"
"123456","140","140","140"
"123904","110","110","110"
"124608","100","100","100"
"125056","90","90","90"
"125088","120","120","120"
"125216","30","30","30"
"126272","170","170","170"
"126304","110","110","110"
"126400","110","110","110"
"126752","70","70","70"
"126912","150","150","150"
"127776","130","130","130"
"127872","100","100","100"
"129120","70","70","70"
"130880","60","60","60"
"131648","140","140","140"
"131968","80","80","80"
"133472","110","110","110"
"133568","120","120","120"
"133792","230","230","230"
"135552","170","170","170"
"135904","60","60","60"
"136128","160","160","160"
"137408","80","80","80"
"137632","180","180","180"
"138208","170","170","170"
"139104","150","150","150"
"139360","80","80","80"
"139808","160","160","160"
"140288","140","140","140"
"140352","230","230","230"
"140640","140","140","140"
"141216","100","100","100"
"141632","100","100","100"
"142400","100","100","100"
"142720","170","170","170"
"144160","180","180","180"
"144992","180","180","180"
"145280","150","150","150"
"146048","120","120","120"
"146144","70","70","70"
"148800","80","80","80"
"150080","190","190","190"
"150368","100","100","100"
"151360","80","80","80"
"152608","130","130","130"
"152960","90","90","90"
"153280","120","120","120"
"153760","190","190","190"
"154048","90","90","90"
"154208","200","200","200"
"154880","110","110","110"
"155360","140","140","140"
"158080","70","70","70"
"158592","50","50","50"
"159520","50","50","50"
"159552","170","170","170"
"160064","100","100","100"
"160608","160","160","160"
"162048","180","180","180"
"162816","50","50","50"
"163776","120","120","120"
"164288","120","120","120"
"164736","80","80","80"
"166016","120","120","120"
"166912","120","120","120"
"167328","40","40","40"
"167968","80","80","80"
"168928","180","180","180"
"171328","170","170","170"
"171904","120","120","120"
"172192","70","70","70"
"172224","120","120","120"
"172512","150","150","150"
"173312","110","110","110"
"173888","90","90","90"
"174432","110","110","110"
"176320","200","200","200"
"176800","80","80","80"
"176992","100","100","100"
"177216","80","80","80"
"177760","120","120","120"
"178464","140","140","140"
"181056","140","140","140"
"181888","40","40","40"
"183008","90","90","90"
"183264","30","30","30"
"184160","120","120","120"
"184224","90","90","90"
"184352","190","190","190"
"185792","90","90","90"
"187104","50","50","50"
"187648","40","40","40"
"188224","90","90","90"
"188512","110","110","110"
"190272","110","110","110"
"191136","130","130","130"
"193216","120","120","120"
"194400","30","30","30"
"194496","150","150","150"
"194784","200","200","200"
"194976","180","180","180"
"196672","90","90","90"
"197024","170","170","170"
"197792","180","180","180"
"198176","170","170","170"
"198240","40","40","40"
"198976","80","80","80"
"199776","120","120","120"
"200608","120","120","120"
"202592","160","160","160"
"203264","40","40","40"
"205024","130","130","130"
"205216","90","90","90"
"205824","140","140","140"
"207232","110","110","110"
"207936","90","90","90"
"208416","190","190","190"
"208448","160","160","160"
"208928","90","90","90"
"209472","160","160","160"
"209568","250","250","250"
"210656","140","140","140"
"210880","140","140","140"
"210976","170","170","170"
"211200","130","130","130"
"211392","80","80","80"
"212256","160","160","160"
"212480","140","140","140"
"212896","110","110","110"
"212928","80","80","80"
"213472","160","160","160"
"213504","170","170","170"
"215360","60","60","60"
"219616","100","100","100"
"219904","190","190","190"
"220512","90","90","90"
"220928","190","190","190"
"220992","200","200","200"
"221792","80","80","80"
"222080","140","140","140"
"223104","120","120","120"
"223776","130","130","130"
"224160","130","130","130"
"224960","230","230","230"
"225216","120","120","120"
"225248","90","90","90"
"225440","120","120","120"
"225664","220","220","220"
"228800","240","240","240"
"229152","220","220","220"
"230144","120","120","120"
"230400","60","60","60"
"231360","80","80","80"
"231456","80","80","80"
"231584","90","90","90"
"231936","230","230","230"
"232160","230","230","230"
"233664","120","120","120"
"233760","90","90","90"
"234240","140","140","140"
"234336","100","100","100"
"235584","90","90","90"
"235744","120","120","120"
"236864","150","150","150"
"239200","230","230","230"
"239232","140","140","140"
"239648","110","110","110"
"240608","180","180","180"
