"Step","MDM_Frostbite_25_3 - hierarchy_use/hierarchy_selected_5","MDM_Frostbite_25_3 - hierarchy_use/hierarchy_selected_5__MIN","MDM_Frostbite_25_3 - hierarchy_use/hierarchy_selected_5__MAX","MDM_Frostbite_25_2 - hierarchy_use/hierarchy_selected_5","MDM_Frostbite_25_2 - hierarchy_use/hierarchy_selected_5__MIN","MDM_Frostbite_25_2 - hierarchy_use/hierarchy_selected_5__MAX","MDM_Frostbite_25_1 - hierarchy_use/hierarchy_selected_5","MDM_Frostbite_25_1 - hierarchy_use/hierarchy_selected_5__MIN","MDM_Frostbite_25_1 - hierarchy_use/hierarchy_selected_5__MAX"
"12576","","","","0.90625","0.90625","0.90625","","",""
"12704","","","","","","","0.748046875","0.748046875","0.748046875"
"12768","0.703125","0.703125","0.703125","","","","","",""
"24928","","","","","","","0.61328125","0.61328125","0.61328125"
"25280","","","","0.5859375","0.5859375","0.5859375","","",""
"25504","0.322265625","0.322265625","0.322265625","","","","","",""
"36640","0.19921875","0.19921875","0.19921875","","","","","",""
"38272","","","","0.37109375","0.37109375","0.37109375","","",""
"38336","","","","","","","0.42578125","0.42578125","0.42578125"
"50144","","","","","","","0.869140625","0.869140625","0.869140625"
"50784","","","","0.11328125","0.11328125","0.11328125","","",""
"51040","0","0","0","","","","","",""
"63680","","","","0.169921875","0.169921875","0.169921875","","",""
"63840","0.125","0.125","0.125","","","","","",""
"63872","","","","","","","0.87109375","0.87109375","0.87109375"
"76192","","","","","","","0.75","0.75","0.75"
"76576","0.0625","0.0625","0.0625","0.279296875","0.279296875","0.279296875","","",""
"88224","","","","0.205078125","0.205078125","0.205078125","","",""
"88928","0.1875","0.1875","0.1875","","","","","",""
"89248","","","","","","","0.8125","0.8125","0.8125"
"102176","0.1875","0.1875","0.1875","","","","","",""
"102240","","","","0.1875","0.1875","0.1875","","",""
"102272","","","","","","","0.875","0.875","0.875"
"114688","0.375","0.375","0.375","","","","","",""
"114944","","","","0.193359375","0.193359375","0.193359375","","",""
"115008","","","","","","","0.5625","0.5625","0.5625"
"127008","","","","0.005859375","0.005859375","0.005859375","","",""
"127648","0.0625","0.0625","0.0625","","","","","",""
"127808","","","","","","","1","1","1"
"140224","","","","0","0","0","","",""
"140384","","","","","","","0.806640625","0.806640625","0.806640625"
"140576","0.125","0.125","0.125","","","","","",""
"153504","0","0","0","0","0","0","","",""
"153536","","","","","","","1","1","1"
"165952","","","","0.375","0.375","0.375","","",""
"166272","0.197265625","0.197265625","0.197265625","","","","","",""
"166304","","","","","","","0.8125","0.8125","0.8125"
"179008","0.05078125","0.05078125","0.05078125","","","","","",""
"179040","","","","","","","0.8125","0.8125","0.8125"
"179072","","","","0.1875","0.1875","0.1875","","",""
"191360","","","","","","","0.8125","0.8125","0.8125"
"191808","","","","0.375","0.375","0.375","","",""
"191936","0.232421875","0.232421875","0.232421875","","","","","",""
"202912","","","","","","","0.8125","0.8125","0.8125"
"204512","","","","0.1875","0.1875","0.1875","","",""
"204608","0.26171875","0.26171875","0.26171875","","","","","",""
"216480","0.125","0.125","0.125","","","","","",""
"216608","","","","","","","0.875","0.875","0.875"
"217376","","","","0.125","0.125","0.125","","",""
"230112","","","","","","","0.9375","0.9375","0.9375"
"230144","0.181640625","0.181640625","0.181640625","","","","","",""
"230368","","","","0.0625","0.0625","0.0625","","",""
"242784","","","","0.1875","0.1875","0.1875","","",""
"242816","","","","","","","0.8125","0.8125","0.8125"
"243168","0.484375","0.484375","0.484375","","","","","",""
"255296","0.5703125","0.5703125","0.5703125","","","","","",""
"255584","","","","0","0","0","","",""
"255904","","","","","","","1","1","1"
"267296","0.826171875","0.826171875","0.826171875","","","","","",""
"267968","","","","","","","1","1","1"
"268608","","","","0","0","0","","",""
"280800","0.970703125","0.970703125","0.970703125","","","","","",""
"281312","","","","","","","1","1","1"
"281536","","","","0.0625","0.0625","0.0625","","",""
"293600","0.8125","0.8125","0.8125","","","","","",""
"294112","","","","","","","0.806640625","0.806640625","0.806640625"
"294272","","","","0.125","0.125","0.125","","",""
"306624","","","","0","0","0","","",""
"306976","1","1","1","","","","","",""
