"Step","FuN_Gravitar_runseed=0 - training/episode/reward","FuN_Gravitar_runseed=0 - training/episode/reward__MIN","FuN_Gravitar_runseed=0 - training/episode/reward__MAX"
"15072","0","0","0"
"16832","100","100","100"
"17760","0","0","0"
"18400","600","600","600"
"19200","100","100","100"
"19360","350","350","350"
"19424","350","350","350"
"19456","350","350","350"
"19552","0","0","0"
"19680","0","0","0"
"20224","200","200","200"
"20256","0","0","0"
"20928","0","0","0"
"21728","500","500","500"
"27872","250","250","250"
"28864","350","350","350"
"35104","100","100","100"
"35904","0","0","0"
"36832","350","350","350"
"37312","0","0","0"
"38208","250","250","250"
"38240","100","100","100"
"38592","0","0","0"
"39232","350","350","350"
"39264","350","350","350"
"39328","500","500","500"
"39392","0","0","0"
"39424","250","250","250"
"40288","100","100","100"
"40480","250","250","250"
"40512","500","500","500"
"40960","0","0","0"
"43744","850","850","850"
"45472","200","200","200"
"49024","500","500","500"
"55296","350","350","350"
"56928","250","250","250"
"57728","250","250","250"
"58656","450","450","450"
"58720","0","0","0"
"60032","0","0","0"
"60576","250","250","250"
"63776","100","100","100"
"64192","0","0","0"
"65248","100","100","100"
"68032","0","0","0"
"69472","0","0","0"
"72640","250","250","250"
"75232","250","250","250"
"76128","0","0","0"
"76160","100","100","100"
"76320","350","350","350"
"76672","100","100","100"
"76832","500","500","500"
"77152","0","0","0"
"77248","350","350","350"
"78080","600","600","600"
"78112","450","450","450"
"78656","500","500","500"
"78816","300","300","300"
"84352","0","0","0"
"86240","250","250","250"
"88640","700","700","700"
"90496","350","350","350"
"90944","250","250","250"
"93152","450","450","450"
"93408","350","350","350"
"93632","0","0","0"
"94240","600","600","600"
"95904","600","600","600"
"96128","0","0","0"
"96544","100","100","100"
"97120","350","350","350"
"97344","100","100","100"
"97728","250","250","250"
"98432","0","0","0"
"98560","250","250","250"
"98688","200","200","200"
"98816","250","250","250"
"100224","100","100","100"
"102240","1100","1100","1100"
"104160","500","500","500"
"104448","200","200","200"
"107136","0","0","0"
"108224","250","250","250"
"111904","100","100","100"
"112352","100","100","100"
"112416","0","0","0"
"114688","550","550","550"
"115264","750","750","750"
"115648","0","0","0"
"115840","0","0","0"
"116352","800","800","800"
"117440","0","0","0"
"119584","600","600","600"
"120960","600","600","600"
"122080","600","600","600"
"123232","500","500","500"
"123392","100","100","100"
"123744","0","0","0"
"123808","250","250","250"
"127584","100","100","100"
"128544","0","0","0"
"129472","500","500","500"
"131040","750","750","750"
"131360","350","350","350"
"134464","100","100","100"
"135424","100","100","100"
"135488","250","250","250"
"136256","100","100","100"
"138368","450","450","450"
"139456","0","0","0"
"141088","0","0","0"
"142496","0","0","0"
"144256","200","200","200"
"145664","350","350","350"
"147808","0","0","0"
"148768","500","500","500"
"149088","250","250","250"
"149312","550","550","550"
"151680","0","0","0"
"151744","700","700","700"
"153920","0","0","0"
"154688","450","450","450"
"155168","0","0","0"
"155936","550","550","550"
"156064","350","350","350"
"156736","0","0","0"
"158016","500","500","500"
"158048","100","100","100"
"159360","250","250","250"
"159904","0","0","0"
"160480","100","100","100"
"162176","0","0","0"
"163040","250","250","250"
"164544","550","550","550"
"165952","600","600","600"
"167328","350","350","350"
"167616","350","350","350"
"169088","600","600","600"
"169920","250","250","250"
"171008","0","0","0"
"173376","0","0","0"
"174304","0","0","0"
"174848","0","0","0"
"175904","350","350","350"
"177152","450","450","450"
"178752","350","350","350"
"182208","350","350","350"
"183616","250","250","250"
"184896","750","750","750"
"185280","0","0","0"
"187104","0","0","0"
"188704","100","100","100"
"189280","0","0","0"
"189536","600","600","600"
"190624","350","350","350"
"190784","100","100","100"
"190848","800","800","800"
"193024","0","0","0"
"193056","350","350","350"
"193888","350","350","350"
"194496","0","0","0"
"195520","100","100","100"
"197984","100","100","100"
"198592","500","500","500"
"198816","100","100","100"
"199392","0","0","0"
"201568","250","250","250"
"201600","600","600","600"
"201920","100","100","100"
"203296","450","450","450"
"203968","0","0","0"
"204672","0","0","0"
"206496","200","200","200"
"210720","0","0","0"
"211200","0","0","0"
"212416","100","100","100"
"212480","100","100","100"
"213856","0","0","0"
"213888","0","0","0"
"215008","350","350","350"
"215168","550","550","550"
"216928","700","700","700"
"217536","100","100","100"
"218656","0","0","0"
"218688","450","450","450"
"218848","100","100","100"
"219328","0","0","0"
"220512","600","600","600"
"222688","0","0","0"
"223808","0","0","0"
"223872","0","0","0"
"225952","600","600","600"
"226816","250","250","250"
"229728","0","0","0"
"230784","350","350","350"
"231872","200","200","200"
"232320","500","500","500"
"234624","200","200","200"
"235328","0","0","0"
"238944","250","250","250"
"240416","450","450","450"
"240544","0","0","0"
"241568","0","0","0"
"242848","350","350","350"
"243648","250","250","250"
"244544","500","500","500"
"246592","0","0","0"
"247776","200","200","200"
"248576","600","600","600"
"250432","350","350","350"
"252032","0","0","0"
"254528","0","0","0"
"256480","350","350","350"
"257440","700","700","700"
"258880","0","0","0"
"259264","500","500","500"
"260672","100","100","100"
"260800","0","0","0"
"260960","250","250","250"
"261216","200","200","200"
"263072","0","0","0"
"265120","0","0","0"
"265568","250","250","250"
"265920","100","100","100"
"266912","350","350","350"
"267136","850","850","850"
"268768","100","100","100"
"268960","250","250","250"
"269472","350","350","350"
"270656","0","0","0"
"271008","100","100","100"
"271264","450","450","450"
"272832","100","100","100"
"274944","250","250","250"
"275936","500","500","500"
"278624","250","250","250"
"279584","0","0","0"
"279648","500","500","500"
"283072","0","0","0"
"283136","0","0","0"
"283744","600","600","600"
"283808","0","0","0"
"284288","0","0","0"
"285536","0","0","0"
"285664","0","0","0"
"286592","350","350","350"
"287552","600","600","600"
"288224","350","350","350"
"288480","100","100","100"
"293664","0","0","0"
"293824","350","350","350"
"293984","500","500","500"
"294240","700","700","700"
"295136","250","250","250"
"297280","500","500","500"
"298016","250","250","250"
"299776","0","0","0"
"300960","450","450","450"
"301888","200","200","200"
"301984","350","350","350"
"302912","100","100","100"
"304160","0","0","0"
"304352","200","200","200"
"306656","100","100","100"
"307008","350","350","350"
"307392","500","500","500"
"307776","600","600","600"
"308032","100","100","100"
"308544","0","0","0"
"308736","750","750","750"
"312480","350","350","350"
"314848","600","600","600"
"318400","200","200","200"
"319712","250","250","250"
"319840","0","0","0"
"320160","250","250","250"
"321184","450","450","450"
"321728","100","100","100"
"322112","100","100","100"
"322176","500","500","500"
"322624","0","0","0"
"324480","200","200","200"
"324672","100","100","100"
"326016","250","250","250"
"328224","450","450","450"
"328864","350","350","350"
"329216","100","100","100"
"330112","500","500","500"
"330944","0","0","0"
"331776","350","350","350"
"333120","100","100","100"
"333184","0","0","0"
"333376","0","0","0"
"334848","250","250","250"
"336736","300","300","300"
"336896","550","550","550"
"337920","200","200","200"
"338624","0","0","0"
"338848","450","450","450"
"340800","0","0","0"
"341120","250","250","250"
"341280","450","450","450"
"342016","100","100","100"
"342432","550","550","550"
"342624","0","0","0"
"343488","0","0","0"
"344576","250","250","250"
"347968","1100","1100","1100"
"349344","250","250","250"
"351392","250","250","250"
"351456","250","250","250"
"351616","0","0","0"
"351744","0","0","0"
"355840","0","0","0"
"356320","250","250","250"
"357408","0","0","0"
"357600","250","250","250"
"358816","450","450","450"
"359296","300","300","300"
"359456","250","250","250"
"360896","0","0","0"
"362112","100","100","100"
"362432","0","0","0"
"364896","350","350","350"
"366656","100","100","100"
"368896","350","350","350"
"368928","800","800","800"
"369664","0","0","0"
"370496","700","700","700"
"371232","350","350","350"
"373696","250","250","250"
"374912","0","0","0"
"375264","0","0","0"
"375904","100","100","100"
"376896","250","250","250"
"377120","0","0","0"
"378368","250","250","250"
"379072","0","0","0"
"379840","700","700","700"
"380480","0","0","0"
"380768","0","0","0"
"384064","350","350","350"
"386848","450","450","450"
"387360","0","0","0"
"387712","0","0","0"
"387968","100","100","100"
"388128","500","500","500"
"389568","750","750","750"
"391392","0","0","0"
"392608","100","100","100"
"395168","250","250","250"
"395264","0","0","0"
"395296","850","850","850"
"398560","450","450","450"
"398880","350","350","350"
"398976","100","100","100"
"399904","0","0","0"
"400064","350","350","350"
"400928","600","600","600"
"402592","0","0","0"
"402752","900","900","900"
"403872","0","0","0"
"404608","0","0","0"
"407040","350","350","350"
"410208","100","100","100"
"411296","350","350","350"
"411840","700","700","700"
"413568","350","350","350"
"413632","250","250","250"
"413792","0","0","0"
"414880","250","250","250"
"415072","250","250","250"
"415680","100","100","100"
"416320","0","0","0"
"416352","0","0","0"
