"Step","a3c_Gravitar_runseed=0 - training/episode/reward","a3c_Gravitar_runseed=0 - training/episode/reward__MIN","a3c_Gravitar_runseed=0 - training/episode/reward__MAX"
"14624","250","250","250"
"15584","0","0","0"
"16640","350","350","350"
"18208","450","450","450"
"18400","0","0","0"
"18656","0","0","0"
"18784","350","350","350"
"19104","250","250","250"
"19200","0","0","0"
"19296","250","250","250"
"19680","450","450","450"
"19936","0","0","0"
"20032","0","0","0"
"20064","200","200","200"
"20736","250","250","250"
"34432","250","250","250"
"35072","100","100","100"
"36608","600","600","600"
"37824","0","0","0"
"38048","600","600","600"
"38240","0","0","0"
"38368","100","100","100"
"38400","0","0","0"
"39424","0","0","0"
"39872","250","250","250"
"40096","250","250","250"
"40288","500","500","500"
"40448","100","100","100"
"41312","0","0","0"
"42080","200","200","200"
"42528","100","100","100"
"45120","350","350","350"
"50016","350","350","350"
"50592","0","0","0"
"55040","700","700","700"
"55104","0","0","0"
"55328","0","0","0"
"56128","450","450","450"
"56832","100","100","100"
"57504","100","100","100"
"57888","0","0","0"
"58464","100","100","100"
"58688","600","600","600"
"58816","250","250","250"
"59200","250","250","250"
"59648","250","250","250"
"59744","0","0","0"
"59776","100","100","100"
"59872","250","250","250"
"60192","100","100","100"
"60512","250","250","250"
"61248","0","0","0"
"61440","0","0","0"
"62624","0","0","0"
"64000","100","100","100"
"65472","0","0","0"
"68544","250","250","250"
"68992","500","500","500"
"69760","750","750","750"
"74048","0","0","0"
"76096","100","100","100"
"76128","100","100","100"
"76992","100","100","100"
"77632","0","0","0"
"77952","200","200","200"
"78272","700","700","700"
"79264","450","450","450"
"80032","200","200","200"
"80192","0","0","0"
"80448","0","0","0"
"80672","0","0","0"
"81152","500","500","500"
"81280","200","200","200"
"82624","100","100","100"
"82880","250","250","250"
"84832","0","0","0"
"85248","500","500","500"
"87008","100","100","100"
"87168","600","600","600"
"92512","0","0","0"
"94176","100","100","100"
"94560","0","0","0"
"95488","0","0","0"
"95648","0","0","0"
"95776","0","0","0"
"96064","0","0","0"
"96928","0","0","0"
"97792","250","250","250"
"98400","700","700","700"
"98560","0","0","0"
"100544","100","100","100"
"100576","0","0","0"
"100672","100","100","100"
"101184","0","0","0"
"101952","350","350","350"
"102336","250","250","250"
"103008","350","350","350"
"103648","700","700","700"
"104672","600","600","600"
"105280","450","450","450"
"106304","0","0","0"
"107296","0","0","0"
"108224","750","750","750"
"111072","100","100","100"
"111840","0","0","0"
"113696","250","250","250"
"114880","0","0","0"
"114912","100","100","100"
"115680","200","200","200"
"116256","500","500","500"
"116288","0","0","0"
"117280","0","0","0"
"117600","350","350","350"
"118592","0","0","0"
"119776","700","700","700"
"119808","250","250","250"
"120512","700","700","700"
"120960","250","250","250"
"121344","100","100","100"
"122144","250","250","250"
"123584","100","100","100"
"123616","100","100","100"
"125856","0","0","0"
"126304","0","0","0"
"129888","0","0","0"
"130112","500","500","500"
"130464","0","0","0"
"131648","850","850","850"
"135680","250","250","250"
"137248","250","250","250"
"137632","100","100","100"
"137792","200","200","200"
"138112","100","100","100"
"138176","100","100","100"
"138560","0","0","0"
"139104","250","250","250"
"139232","900","900","900"
"140480","250","250","250"
"140640","0","0","0"
"141632","0","0","0"
"142048","350","350","350"
"142176","250","250","250"
"143200","500","500","500"
"144352","0","0","0"
"146976","250","250","250"
"147936","700","700","700"
"148480","250","250","250"
"148608","100","100","100"
"149696","500","500","500"
"149760","0","0","0"
"151200","200","200","200"
"152320","100","100","100"
"153888","100","100","100"
"155200","100","100","100"
"155648","350","350","350"
"156544","250","250","250"
"157184","350","350","350"
"159072","0","0","0"
"160160","600","600","600"
"162528","700","700","700"
"163008","0","0","0"
"165952","100","100","100"
"166272","550","550","550"
"167616","0","0","0"
"167648","0","0","0"
"168480","250","250","250"
"168512","250","250","250"
"169280","0","0","0"
"169920","100","100","100"
"169952","0","0","0"
"169984","100","100","100"
"172608","0","0","0"
"172768","250","250","250"
"173120","700","700","700"
"173376","450","450","450"
"174624","100","100","100"
"175520","250","250","250"
"177888","350","350","350"
"178336","0","0","0"
"179264","250","250","250"
"182368","250","250","250"
"182752","450","450","450"
"183264","200","200","200"
