"Step","MDM_Gravitar_25_3 - hierarchy_use/hierarchy_selected_4","MDM_Gravitar_25_3 - hierarchy_use/hierarchy_selected_4__MIN","MDM_Gravitar_25_3 - hierarchy_use/hierarchy_selected_4__MAX","MDM_Gravitar_25_2 - hierarchy_use/hierarchy_selected_4","MDM_Gravitar_25_2 - hierarchy_use/hierarchy_selected_4__MIN","MDM_Gravitar_25_2 - hierarchy_use/hierarchy_selected_4__MAX","MDM_Gravitar_25_1 - hierarchy_use/hierarchy_selected_4","MDM_Gravitar_25_1 - hierarchy_use/hierarchy_selected_4__MIN","MDM_Gravitar_25_1 - hierarchy_use/hierarchy_selected_4__MAX"
"0","0.126953125","0.126953125","0.126953125","0.0625","0.0625","0.0625","","",""
"10752","","","","","","","0.75","0.75","0.75"
"21504","","","","0.3125","0.3125","0.3125","","",""
"22752","0.501953125","0.501953125","0.501953125","","","","","",""
"23264","","","","","","","0.875","0.875","0.875"
"36416","","","","0.087890625","0.087890625","0.087890625","","",""
"38144","","","","","","","0.4375","0.4375","0.4375"
"38272","0.5546875","0.5546875","0.5546875","","","","","",""
"49984","","","","","","","0.8125","0.8125","0.8125"
"51008","0.3515625","0.3515625","0.3515625","","","","","",""
"51168","","","","0.212890625","0.212890625","0.212890625","","",""
"62336","0.369140625","0.369140625","0.369140625","","","","","",""
"63712","","","","0.3203125","0.3203125","0.3203125","","",""
"63840","","","","","","","1","1","1"
"75712","","","","","","","0.8125","0.8125","0.8125"
"75936","0.3046875","0.3046875","0.3046875","","","","","",""
"76768","","","","0.287109375","0.287109375","0.287109375","","",""
"82912","","","","0.4296875","0.4296875","0.4296875","","",""
"89344","0.431640625","0.431640625","0.431640625","","","","0.8125","0.8125","0.8125"
"101568","","","","0.021484375","0.021484375","0.021484375","","",""
"101856","0.349609375","0.349609375","0.349609375","","","","","",""
"102368","","","","","","","0.8125","0.8125","0.8125"
"114464","0.1796875","0.1796875","0.1796875","","","","0.8125","0.8125","0.8125"
"114592","","","","0.19921875","0.19921875","0.19921875","","",""
"127264","","","","0.0859375","0.0859375","0.0859375","","",""
"127552","0.23828125","0.23828125","0.23828125","","","","","",""
"127616","","","","","","","0.625","0.625","0.625"
"139360","","","","0.125","0.125","0.125","","",""
"139904","","","","","","","1","1","1"
"140672","0.421875","0.421875","0.421875","","","","","",""
"152640","0.06640625","0.06640625","0.06640625","","","","","",""
"153152","","","","","","","1","1","1"
"153536","","","","0.1875","0.1875","0.1875","","",""
"165504","","","","","","","0.625","0.625","0.625"
"165536","0.404296875","0.404296875","0.404296875","","","","","",""
"166016","","","","0.1875","0.1875","0.1875","","",""
"179008","","","","0.1875","0.1875","0.1875","","",""
"179136","0","0","0","","","","0.8125","0.8125","0.8125"
"190112","","","","","","","0.8125","0.8125","0.8125"
"191296","0","0","0","","","","","",""
"191424","","","","0","0","0","","",""
"203936","0.1875","0.1875","0.1875","","","","","",""
"204288","","","","","","","0.75","0.75","0.75"
"204544","","","","0.1875","0.1875","0.1875","","",""
"216896","0.125","0.125","0.125","","","","","",""
"217440","","","","0.125","0.125","0.125","","",""
"217536","","","","","","","0.875","0.875","0.875"
"228832","","","","0.0625","0.0625","0.0625","","",""
"229888","","","","","","","1","1","1"
"229920","0.0625","0.0625","0.0625","","","","","",""
"241600","","","","","","","1","1","1"
"242784","","","","0","0","0","","",""
"243072","0.375","0.375","0.375","","","","","",""
"254656","","","","","","","1","1","1"
"255392","0.125","0.125","0.125","","","","","",""
"255904","","","","0.125","0.125","0.125","","",""
"266720","","","","0.0625","0.0625","0.0625","","",""
"268064","","","","","","","1","1","1"
"268736","0.0625","0.0625","0.0625","","","","","",""
"280800","0","0","0","","","","","",""
"281056","","","","","","","1","1","1"
"281344","","","","0.0625","0.0625","0.0625","","",""
"293536","0","0","0","","","","","",""
"293792","","","","","","","0.875","0.875","0.875"
"294368","","","","0.125","0.125","0.125","","",""
"306592","","","","0","0","0","","",""
"306752","","","","","","","0.9375","0.9375","0.9375"
"306976","0","0","0","","","","","",""
"319648","0.375","0.375","0.375","","","","1","1","1"
"319904","","","","0.1875","0.1875","0.1875","","",""
"331968","","","","0.13671875","0.13671875","0.13671875","","",""
"332416","0","0","0","","","","","",""
"332704","","","","","","","1","1","1"
"344896","0","0","0","","","","","",""
"345120","","","","","","","1","1","1"
"345376","","","","0.091796875","0.091796875","0.091796875","","",""
"357632","","","","0.037109375","0.037109375","0.037109375","","",""
"358048","0","0","0","","","","","",""
"358176","","","","","","","1","1","1"
"370848","","","","0.212890625","0.212890625","0.212890625","","",""
"371072","0.1875","0.1875","0.1875","","","","1","1","1"
"383360","","","","","","","1","1","1"
"383776","","","","0.03125","0.03125","0.03125","","",""
"383872","0","0","0","","","","","",""
"396448","","","","0.091796875","0.091796875","0.091796875","","",""
"396512","0.0625","0.0625","0.0625","","","","","",""
"396640","","","","","","","0.8125","0.8125","0.8125"
"409184","","","","0.333984375","0.333984375","0.333984375","","",""
"409472","0.3125","0.3125","0.3125","","","","","",""
"409536","","","","","","","1","1","1"
"421408","0","0","0","","","","","",""
"421984","","","","0.03125","0.03125","0.03125","","",""
"422048","","","","","","","1","1","1"
"434560","","","","0.03125","0.03125","0.03125","","",""
"434688","","","","","","","0.8125","0.8125","0.8125"
"434912","0","0","0","","","","","",""
"444864","","","","","","","1","1","1"
"447776","0","0","0","0.041015625","0.041015625","0.041015625","","",""
"459584","0","0","0","","","","","",""
"460544","","","","","","","1","1","1"
"460768","","","","0.044921875","0.044921875","0.044921875","","",""
"473280","","","","0.20703125","0.20703125","0.20703125","","",""
"473472","","","","","","","1","1","1"
"473504","0.1953125","0.1953125","0.1953125","","","","","",""
"486240","","","","","","","1","1","1"
"486272","","","","0.03125","0.03125","0.03125","","",""
"486368","0.03125","0.03125","0.03125","","","","","",""
"497856","0.03125","0.03125","0.03125","","","","","",""
"497920","","","","","","","1","1","1"
"498912","","","","0.0546875","0.0546875","0.0546875","","",""
"511776","","","","","","","1","1","1"
"511840","","","","0.048828125","0.048828125","0.048828125","","",""
"511872","0.03125","0.03125","0.03125","","","","","",""
"524320","","","","0.15234375","0.15234375","0.15234375","","",""
"524448","","","","","","","0.875","0.875","0.875"
"524640","0.02734375","0.02734375","0.02734375","","","","","",""
"537088","","","","","","","0.9375","0.9375","0.9375"
"537120","","","","0.091796875","0.091796875","0.091796875","","",""
"537504","0.064453125","0.064453125","0.064453125","","","","","",""
"549408","","","","0.044921875","0.044921875","0.044921875","","",""
"549440","","","","","","","1","1","1"
"550304","0.0625","0.0625","0.0625","","","","","",""
"562656","","","","0.0625","0.0625","0.0625","","",""
"562720","0.041015625","0.041015625","0.041015625","","","","","",""
"563008","","","","","","","0.8125","0.8125","0.8125"
"575680","","","","","","","0.8125","0.8125","0.8125"
"575904","0.048828125","0.048828125","0.048828125","","","","","",""
"575968","","","","0.0859375","0.0859375","0.0859375","","",""
"587776","0.23828125","0.23828125","0.23828125","","","","","",""
"588256","","","","0.23046875","0.23046875","0.23046875","","",""
"588416","","","","","","","1","1","1"
"600320","0.0625","0.0625","0.0625","","","","","",""
"601376","","","","","","","1","1","1"
"601408","","","","0.02734375","0.02734375","0.02734375","","",""
"613792","","","","0","0","0","","",""
"613888","","","","","","","1","1","1"
"614208","0.0625","0.0625","0.0625","","","","","",""
"626112","0.05078125","0.05078125","0.05078125","","","","","",""
"626272","","","","","","","0.8125","0.8125","0.8125"
"626592","","","","0","0","0","","",""
"637088","0.0625","0.0625","0.0625","","","","","",""
"639136","","","","","","","0.8125","0.8125","0.8125"
"639712","","","","0","0","0","","",""
"652192","","","","","","","1","1","1"
"652672","","","","0","0","0","","",""
"652768","0.068359375","0.068359375","0.068359375","","","","","",""
"665152","","","","","","","1","1","1"
"665344","0.037109375","0.037109375","0.037109375","","","","","",""
"665536","","","","0","0","0","","",""
"675968","0.03125","0.03125","0.03125","","","","","",""
"677952","","","","","","","1","1","1"
"678144","","","","0","0","0","","",""
"689600","","","","0.005859375","0.005859375","0.005859375","","",""
"690624","0.03125","0.03125","0.03125","","","","","",""
"691072","","","","","","","0.8125","0.8125","0.8125"
"703712","0.03125","0.03125","0.03125","","","","","",""
"703776","","","","","","","1","1","1"
"703968","","","","0.01953125","0.01953125","0.01953125","","",""
"716384","","","","","","","1","1","1"
"716576","","","","0.025390625","0.025390625","0.025390625","","",""
"716640","0.041015625","0.041015625","0.041015625","","","","","",""
"729312","","","","0.048828125","0.048828125","0.048828125","","",""
"729408","","","","","","","1","1","1"
"729536","0.0625","0.0625","0.0625","","","","","",""
"741216","0.03125","0.03125","0.03125","0.107421875","0.107421875","0.107421875","","",""
"741920","","","","","","","1","1","1"
"754560","0.03125","0.03125","0.03125","","","","","",""
"754784","","","","","","","1","1","1"
"754848","","","","0.125","0.125","0.125","","",""
"766752","0.03125","0.03125","0.03125","","","","","",""
"767456","","","","","","","1","1","1"
"767872","","","","0.142578125","0.142578125","0.142578125","","",""
"780128","0.05859375","0.05859375","0.05859375","","","","","",""
"780320","","","","","","","1","1","1"
"780768","","","","0.14453125","0.14453125","0.14453125","","",""
"792960","","","","","","","1","1","1"
"792992","0.048828125","0.048828125","0.048828125","","","","","",""
"793248","","","","0.162109375","0.162109375","0.162109375","","",""
"805856","","","","","","","1","1","1"
"805952","","","","0.15625","0.15625","0.15625","","",""
"806080","0.044921875","0.044921875","0.044921875","","","","","",""
"817600","","","","0.193359375","0.193359375","0.193359375","","",""
"818560","0.0625","0.0625","0.0625","","","","","",""
"819104","","","","","","","1","1","1"
"830464","","","","0.251953125","0.251953125","0.251953125","","",""
"831520","0.0625","0.0625","0.0625","","","","","",""
"831648","","","","","","","1","1","1"
"843808","","","","0.3046875","0.3046875","0.3046875","","",""
"843904","0.0625","0.0625","0.0625","","","","","",""
"844704","","","","","","","1","1","1"
"856320","","","","0.3125","0.3125","0.3125","","",""
"856448","","","","","","","1","1","1"
"857152","0.037109375","0.037109375","0.037109375","","","","","",""
"869888","","","","0.33984375","0.33984375","0.33984375","","",""
"870080","","","","","","","1","1","1"
"870240","0.03125","0.03125","0.03125","","","","","",""
"882976","","","","0.34375","0.34375","0.34375","1","1","1"
"883136","0.01953125","0.01953125","0.01953125","","","","","",""
"894912","0.0546875","0.0546875","0.0546875","","","","","",""
"895712","","","","","","","1","1","1"
"895872","","","","0.34375","0.34375","0.34375","","",""
"907040","","","","0.34375","0.34375","0.34375","","",""
"907904","","","","","","","1","1","1"
"908576","0.02734375","0.02734375","0.02734375","","","","","",""
"921184","","","","","","","1","1","1"
"921216","0.005859375","0.005859375","0.005859375","","","","","",""
"921472","","","","0.35546875","0.35546875","0.35546875","","",""
"932512","0","0","0","","","","","",""
"934016","","","","","","","1","1","1"
"934336","","","","0.375","0.375","0.375","","",""
"946720","","","","","","","1","1","1"
"946944","0","0","0","0.375","0.375","0.375","","",""
"958496","","","","0.392578125","0.392578125","0.392578125","","",""
"959584","0","0","0","","","","","",""
"959744","","","","","","","1","1","1"
"971008","","","","0.42578125","0.42578125","0.42578125","","",""
"971296","","","","","","","1","1","1"
"972672","0","0","0","","","","","",""
"983936","","","","0.42578125","0.42578125","0.42578125","","",""
"985536","0","0","0","","","","1","1","1"
"998144","0","0","0","","","","1","1","1"
"998336","","","","0.431640625","0.431640625","0.431640625","","",""
"1009920","0","0","0","","","","","",""
"1010912","","","","","","","1","1","1"
"1010976","","","","0.4375","0.4375","0.4375","","",""
"1022464","0","0","0","","","","","",""
"1023264","","","","","","","1","1","1"
"1023744","","","","0.4375","0.4375","0.4375","","",""
"1036288","","","","","","","1","1","1"
"1036576","","","","0.4375","0.4375","0.4375","","",""
"1036672","0","0","0","","","","","",""
"1048928","0","0","0","","","","","",""
"1049440","","","","0.4375","0.4375","0.4375","","",""
"1049504","","","","","","","1","1","1"
"1060928","0","0","0","","","","","",""
"1061440","","","","0.466796875","0.466796875","0.466796875","","",""
"1062368","","","","","","","1","1","1"
"1074624","0","0","0","","","","","",""
"1074944","","","","0.578125","0.578125","0.578125","","",""
"1074976","","","","","","","1","1","1"
"1085824","","","","0.6328125","0.6328125","0.6328125","","",""
"1087328","0","0","0","","","","","",""
"1087936","","","","","","","1","1","1"
"1100320","","","","0.693359375","0.693359375","0.693359375","","",""
"1100352","","","","","","","1","1","1"
"1100480","0","0","0","","","","","",""
"1112384","","","","","","","1","1","1"
"1113056","0","0","0","","","","","",""
"1113472","","","","0.73046875","0.73046875","0.73046875","","",""
"1125696","0","0","0","","","","","",""
"1126016","","","","0.744140625","0.744140625","0.744140625","","",""
"1126272","","","","","","","1","1","1"
"1138656","","","","0.8125","0.8125","0.8125","","",""
"1138848","0","0","0","","","","","",""
"1138912","","","","","","","1","1","1"
"1149696","","","","0.9453125","0.9453125","0.9453125","","",""
"1151072","0.005859375","0.005859375","0.005859375","","","","","",""
"1151872","","","","","","","1","1","1"
"1163520","0","0","0","","","","","",""
"1164320","","","","","","","1","1","1"
"1164384","","","","0.96875","0.96875","0.96875","","",""
"1176864","0","0","0","","","","","",""
"1176960","","","","","","","1","1","1"
"1177536","","","","0.978515625","0.978515625","0.978515625","","",""
"1189856","","","","0.994140625","0.994140625","0.994140625","","",""
"1190144","","","","","","","1","1","1"
"1190304","0","0","0","","","","","",""
"1201184","0","0","0","","","","","",""
"1202560","","","","0.994140625","0.994140625","0.994140625","","",""
"1203040","","","","","","","1","1","1"
"1214080","0","0","0","","","","","",""
"1215104","","","","1","1","1","","",""
"1215936","","","","","","","1","1","1"
"1228096","","","","","","","1","1","1"
"1228736","0","0","0","","","","","",""
"1228768","","","","0.994140625","0.994140625","0.994140625","","",""
"1240768","","","","0.9921875","0.9921875","0.9921875","","",""
"1240960","0","0","0","","","","","",""
"1241472","","","","","","","1","1","1"
"1252800","","","","0.984375","0.984375","0.984375","","",""
"1252992","0","0","0","","","","","",""
"1253440","","","","","","","1","1","1"
"1264672","","","","","","","1","1","1"
"1266688","0","0","0","","","","","",""
"1267104","","","","1","1","1","","",""
"1278176","","","","","","","1","1","1"
"1279872","0","0","0","","","","","",""
"1279904","","","","1","1","1","","",""
"1291008","","","","1","1","1","","",""
