"Step","FuN_Kangaroo_runseed=0 - training/episode/reward","FuN_Kangaroo_runseed=0 - training/episode/reward__MIN","FuN_Kangaroo_runseed=0 - training/episode/reward__MAX"
"9216","0","0","0"
"9408","0","0","0"
"11200","200","200","200"
"11232","0","0","0"
"11264","0","0","0"
"11936","0","0","0"
"13600","0","0","0"
"13984","0","0","0"
"14080","0","0","0"
"14176","0","0","0"
"14240","0","0","0"
"14688","0","0","0"
"14880","0","0","0"
"15232","0","0","0"
"15392","400","400","400"
"15520","0","0","0"
"15776","0","0","0"
"16160","0","0","0"
"16832","0","0","0"
"16960","0","0","0"
"16992","0","0","0"
"17152","0","0","0"
"17312","0","0","0"
"19136","0","0","0"
"19616","0","0","0"
"21184","0","0","0"
"23136","0","0","0"
"24896","0","0","0"
"26240","200","200","200"
"26272","0","0","0"
"26528","0","0","0"
"26752","0","0","0"
"27648","0","0","0"
"28576","200","200","200"
"28608","0","0","0"
"28672","0","0","0"
"30528","0","0","0"
"30912","0","0","0"
"31424","0","0","0"
"32928","0","0","0"
"32992","200","200","200"
"33024","0","0","0"
"33152","0","0","0"
"33664","0","0","0"
"34144","0","0","0"
"34304","0","0","0"
"34496","0","0","0"
"35968","200","200","200"
"37760","0","0","0"
"40064","0","0","0"
"41248","200","200","200"
"41376","0","0","0"
"41504","0","0","0"
"41632","200","200","200"
"41952","0","0","0"
"44000","0","0","0"
"44192","0","0","0"
"46816","200","200","200"
"48768","200","200","200"
"48992","0","0","0"
"49408","200","200","200"
"50304","0","0","0"
"50400","0","0","0"
"51456","200","200","200"
"51488","0","0","0"
"51744","0","0","0"
"52384","0","0","0"
"52544","200","200","200"
"55168","0","0","0"
"55456","0","0","0"
"55680","0","0","0"
"56288","200","200","200"
"56672","0","0","0"
"57280","0","0","0"
"57824","0","0","0"
"58112","0","0","0"
"58784","0","0","0"
"60960","200","200","200"
"62016","0","0","0"
"63360","0","0","0"
"63584","0","0","0"
"63968","0","0","0"
"65184","0","0","0"
"66944","200","200","200"
"67680","200","200","200"
"67744","0","0","0"
"68160","0","0","0"
"68736","0","0","0"
"68800","200","200","200"
"70528","0","0","0"
"70560","0","0","0"
"70720","0","0","0"
"71040","0","0","0"
"71552","0","0","0"
"72352","0","0","0"
"72736","0","0","0"
"73984","0","0","0"
"75232","0","0","0"
"76256","0","0","0"
"77120","0","0","0"
"77856","0","0","0"
"78624","0","0","0"
"79520","200","200","200"
"80512","0","0","0"
"80992","0","0","0"
"81344","0","0","0"
"81664","0","0","0"
"82336","0","0","0"
"82592","0","0","0"
"82752","0","0","0"
"83296","0","0","0"
"83456","0","0","0"
"83872","0","0","0"
"84160","0","0","0"
"85856","0","0","0"
"86080","0","0","0"
"86112","0","0","0"
"86880","200","200","200"
"87136","0","0","0"
"88992","0","0","0"
"89408","0","0","0"
"90272","0","0","0"
"90560","0","0","0"
"90944","0","0","0"
"91360","0","0","0"
"92480","0","0","0"
"92544","0","0","0"
"92672","0","0","0"
"95008","0","0","0"
"96992","0","0","0"
"97056","200","200","200"
"97184","200","200","200"
"97408","0","0","0"
"97696","0","0","0"
"99168","200","200","200"
"100480","200","200","200"
"100800","0","0","0"
"101504","0","0","0"
"101792","0","0","0"
"102400","0","0","0"
"103680","0","0","0"
"104000","400","400","400"
"104960","0","0","0"
"105472","0","0","0"
"105504","0","0","0"
"105600","0","0","0"
"106400","0","0","0"
"106432","200","200","200"
"106848","0","0","0"
"108096","0","0","0"
"108192","0","0","0"
"110272","0","0","0"
"111200","0","0","0"
"113024","0","0","0"
"113696","0","0","0"
"114048","200","200","200"
"115040","0","0","0"
"115712","0","0","0"
"116960","0","0","0"
"118560","200","200","200"
"119168","0","0","0"
"119232","0","0","0"
"120480","0","0","0"
"121568","200","200","200"
"121792","0","0","0"
"121888","0","0","0"
"122656","0","0","0"
"122688","0","0","0"
"122816","0","0","0"
"124064","0","0","0"
"125856","0","0","0"
"126240","200","200","200"
"126592","0","0","0"
"127296","200","200","200"
"128448","0","0","0"
"129760","0","0","0"
"129856","200","200","200"
"130784","0","0","0"
"131616","0","0","0"
"131744","0","0","0"
"133632","0","0","0"
"134272","0","0","0"
"134592","0","0","0"
"135136","0","0","0"
"135424","0","0","0"
"135456","0","0","0"
"136352","0","0","0"
"136672","0","0","0"
"136960","200","200","200"
"137600","0","0","0"
"138784","0","0","0"
"139712","0","0","0"
"140160","0","0","0"
"140928","0","0","0"
"141312","400","400","400"
"141728","0","0","0"
"142048","200","200","200"
"144032","0","0","0"
"144800","200","200","200"
"145056","0","0","0"
"145312","0","0","0"
"145504","0","0","0"
"146080","0","0","0"
"146304","0","0","0"
"146432","200","200","200"
"146592","400","400","400"
"146720","400","400","400"
"149120","0","0","0"
"149216","200","200","200"
"150688","0","0","0"
"151488","0","0","0"
"151712","0","0","0"
"151808","0","0","0"
"151968","0","0","0"
"152480","0","0","0"
"152928","0","0","0"
"153280","200","200","200"
"153568","0","0","0"
"153600","0","0","0"
"154432","0","0","0"
"155840","0","0","0"
"156800","0","0","0"
"157824","0","0","0"
"158016","0","0","0"
"158880","200","200","200"
"158912","0","0","0"
"158944","0","0","0"
"160160","0","0","0"
"160864","0","0","0"
"160960","0","0","0"
"161792","200","200","200"
"161824","0","0","0"
"162272","0","0","0"
"162944","0","0","0"
"165664","0","0","0"
"166240","200","200","200"
