"Step","a3c_Kangaroo_runseed=0 - training/episode/reward","a3c_Kangaroo_runseed=0 - training/episode/reward__MIN","a3c_Kangaroo_runseed=0 - training/episode/reward__MAX"
"11296","0","0","0"
"11424","0","0","0"
"13088","0","0","0"
"14688","0","0","0"
"14976","0","0","0"
"15008","0","0","0"
"15136","200","200","200"
"15232","200","200","200"
"15456","400","400","400"
"15552","0","0","0"
"15616","400","400","400"
"16352","0","0","0"
"17088","0","0","0"
"17184","200","200","200"
"17440","0","0","0"
"18144","0","0","0"
"19104","0","0","0"
"19168","0","0","0"
"19200","0","0","0"
"19328","0","0","0"
"19392","0","0","0"
"20256","0","0","0"
"21664","0","0","0"
"22272","0","0","0"
"22720","0","0","0"
"24480","200","200","200"
"24576","0","0","0"
"26176","0","0","0"
"26592","0","0","0"
"28000","0","0","0"
"28480","0","0","0"
"30496","0","0","0"
"31264","0","0","0"
"32448","0","0","0"
"32736","200","200","200"
"33632","0","0","0"
"33792","0","0","0"
"34336","200","200","200"
"34464","400","400","400"
"35232","0","0","0"
"35456","0","0","0"
"35584","0","0","0"
"35616","200","200","200"
"37184","200","200","200"
"37856","0","0","0"
"39040","200","200","200"
"39456","0","0","0"
"40064","0","0","0"
"40480","0","0","0"
"41664","200","200","200"
"41984","0","0","0"
"42016","0","0","0"
"43200","200","200","200"
"43456","200","200","200"
"45696","0","0","0"
"46688","0","0","0"
"47712","0","0","0"
"48352","0","0","0"
"48896","0","0","0"
"49312","0","0","0"
"50432","0","0","0"
"50912","200","200","200"
"51296","0","0","0"
"52192","0","0","0"
"52736","0","0","0"
"53568","0","0","0"
"55136","0","0","0"
"55264","0","0","0"
"55360","0","0","0"
"55392","0","0","0"
"56864","200","200","200"
"56928","0","0","0"
"57344","200","200","200"
"57504","0","0","0"
"60384","0","0","0"
"60544","0","0","0"
"60704","0","0","0"
"64160","0","0","0"
"64320","200","200","200"
"64448","0","0","0"
"64832","0","0","0"
"66016","200","200","200"
"66560","0","0","0"
"67168","0","0","0"
"68256","0","0","0"
"68864","200","200","200"
