"Step","MDM_Kangaroo_25_3 - hierarchy_use/hierarchy_selected_3","MDM_Kangaroo_25_3 - hierarchy_use/hierarchy_selected_3__MIN","MDM_Kangaroo_25_3 - hierarchy_use/hierarchy_selected_3__MAX","MDM_Kangaroo_25_2 - hierarchy_use/hierarchy_selected_3","MDM_Kangaroo_25_2 - hierarchy_use/hierarchy_selected_3__MIN","MDM_Kangaroo_25_2 - hierarchy_use/hierarchy_selected_3__MAX","MDM_Kangaroo_25_1 - hierarchy_use/hierarchy_selected_3","MDM_Kangaroo_25_1 - hierarchy_use/hierarchy_selected_3__MIN","MDM_Kangaroo_25_1 - hierarchy_use/hierarchy_selected_3__MAX"
"10784","","","","0.2109375","0.2109375","0.2109375","","",""
"11360","0.2109375","0.2109375","0.2109375","","","","","",""
"11680","","","","","","","0.0625","0.0625","0.0625"
"22816","0.4296875","0.4296875","0.4296875","","","","","",""
"23520","","","","","","","0.4375","0.4375","0.4375"
"25088","","","","0.193359375","0.193359375","0.193359375","","",""
"37600","","","","0","0","0","","",""
"37984","","","","","","","0.25","0.25","0.25"
"38304","1","1","1","","","","","",""
"50976","1","1","1","","","","","",""
"51136","","","","","","","0.25","0.25","0.25"
"51168","","","","0.5078125","0.5078125","0.5078125","","",""
"63456","1","1","1","","","","","",""
"63680","","","","","","","0.25","0.25","0.25"
"63872","","","","0.6875","0.6875","0.6875","","",""
"76224","","","","0.75","0.75","0.75","","",""
"76704","1","1","1","","","","0.25","0.25","0.25"
"88384","0.806640625","0.806640625","0.806640625","","","","","",""
"89152","","","","","","","0","0","0"
"89568","","","","0.8125","0.8125","0.8125","","",""
"101856","","","","1","1","1","","",""
"101984","","","","","","","0","0","0"
"102176","0.8125","0.8125","0.8125","","","","","",""
"114240","0.4375","0.4375","0.4375","","","","","",""
"114720","","","","","","","0.1875","0.1875","0.1875"
"115072","","","","0.8125","0.8125","0.8125","","",""
"127776","","","","0.9375","0.9375","0.9375","","",""
"127904","1","1","1","","","","","",""
"127936","","","","","","","0.1875","0.1875","0.1875"
"139296","","","","0.6875","0.6875","0.6875","","",""
"140000","0.8125","0.8125","0.8125","","","","","",""
"140096","","","","","","","0","0","0"
"152800","","","","0.8125","0.8125","0.8125","","",""
"153440","","","","","","","0.375","0.375","0.375"
"153472","1","1","1","","","","","",""
"165664","0.998046875","0.998046875","0.998046875","","","","","",""
"166080","","","","1","1","1","","",""
"166368","","","","","","","0.375","0.375","0.375"
"178528","0.978515625","0.978515625","0.978515625","","","","","",""
"178784","","","","","","","0.1875","0.1875","0.1875"
"179168","","","","1","1","1","","",""
"190400","","","","","","","0.1875","0.1875","0.1875"
"190432","","","","0.625","0.625","0.625","","",""
"191328","0.77734375","0.77734375","0.77734375","","","","","",""
"203680","","","","0.8125","0.8125","0.8125","","",""
"204480","0.97265625","0.97265625","0.97265625","","","","","",""
"204640","","","","","","","0.25","0.25","0.25"
"216384","0.939453125","0.939453125","0.939453125","","","","","",""
"216960","","","","","","","0.125","0.125","0.125"
"217152","","","","1","1","1","","",""
"229344","","","","1","1","1","","",""
"230048","0.841796875","0.841796875","0.841796875","","","","","",""
"230240","","","","","","","0","0","0"
"242432","0.89453125","0.89453125","0.89453125","","","","","",""
"242688","","","","","","","0","0","0"
"243136","","","","0.625","0.625","0.625","","",""
"255616","","","","","","","0","0","0"
"255680","","","","0.875","0.875","0.875","","",""
"255712","0.830078125","0.830078125","0.830078125","","","","","",""
"268480","0.818359375","0.818359375","0.818359375","","","","","",""
"268736","","","","0.9375","0.9375","0.9375","0.1875","0.1875","0.1875"
"280992","0.806640625","0.806640625","0.806640625","","","","","",""
"281312","","","","","","","0","0","0"
"281408","","","","0.92578125","0.92578125","0.92578125","","",""
"293888","0.662109375","0.662109375","0.662109375","","","","","",""
"293984","","","","0.65625","0.65625","0.65625","","",""
"294272","","","","","","","0","0","0"
"306720","","","","0.9375","0.9375","0.9375","","",""
"306944","0.763671875","0.763671875","0.763671875","","","","","",""
"307104","","","","","","","0","0","0"
"319392","0.63671875","0.63671875","0.63671875","","","","","",""
"319904","","","","0.7734375","0.7734375","0.7734375","0.1875","0.1875","0.1875"
"331072","0.73046875","0.73046875","0.73046875","","","","","",""
"332480","","","","","","","0","0","0"
"332512","","","","0.796875","0.796875","0.796875","","",""
"345344","","","","0.791015625","0.791015625","0.791015625","","",""
"345408","0.70703125","0.70703125","0.70703125","","","","","",""
"345472","","","","","","","0","0","0"
"357792","","","","0.8125","0.8125","0.8125","","",""
"358112","0.6875","0.6875","0.6875","","","","","",""
"358272","","","","","","","0.1875","0.1875","0.1875"
"370720","","","","","","","0","0","0"
"371136","0.74609375","0.74609375","0.74609375","","","","","",""
"371168","","","","0.650390625","0.650390625","0.650390625","","",""
"383008","","","","0.78125","0.78125","0.78125","","",""
"383040","0.6875","0.6875","0.6875","","","","","",""
"383904","","","","","","","0","0","0"
"396160","0.64453125","0.64453125","0.64453125","","","","","",""
"396384","","","","","","","0","0","0"
"396576","","","","0.7265625","0.7265625","0.7265625","","",""
"408416","","","","","","","0","0","0"
"408448","0.46875","0.46875","0.46875","","","","","",""
"409504","","","","0.5","0.5","0.5","","",""
"421536","","","","0.6953125","0.6953125","0.6953125","","",""
"422304","","","","","","","0","0","0"
"422368","0.650390625","0.650390625","0.650390625","","","","","",""
"434400","0.599609375","0.599609375","0.599609375","","","","","",""
"434784","","","","0.685546875","0.685546875","0.685546875","","",""
"435168","","","","","","","0.1875","0.1875","0.1875"
"447008","0.48828125","0.48828125","0.48828125","","","","","",""
"447776","","","","0.517578125","0.517578125","0.517578125","","",""
"447840","","","","","","","0.125","0.125","0.125"
"460576","","","","0.455078125","0.455078125","0.455078125","","",""
"460704","","","","","","","0.0625","0.0625","0.0625"
"460768","0.60546875","0.60546875","0.60546875","","","","","",""
"473056","0.744140625","0.744140625","0.744140625","","","","","",""
"473440","","","","0.07421875","0.07421875","0.07421875","","",""
"473568","","","","","","","0","0","0"
"484928","","","","","","","0","0","0"
"486240","","","","0.04296875","0.04296875","0.04296875","","",""
"486272","0.546875","0.546875","0.546875","","","","","",""
"498912","","","","","","","0","0","0"
"499072","0.53125","0.53125","0.53125","","","","","",""
"499104","","","","0","0","0","","",""
"511168","0.529296875","0.529296875","0.529296875","","","","","",""
"511680","","","","0","0","0","","",""
"511872","","","","","","","0.1875","0.1875","0.1875"
"523904","","","","0","0","0","","",""
"524544","0.5625","0.5625","0.5625","","","","","",""
"524608","","","","","","","0","0","0"
"536960","","","","0","0","0","","",""
"537504","0.47265625","0.47265625","0.47265625","","","","","",""
"537536","","","","","","","0","0","0"
"549824","0.40234375","0.40234375","0.40234375","","","","","",""
"549952","","","","","","","0","0","0"
