"Step","FuN_qbert_runseed=0 - training/episode/reward","FuN_qbert_runseed=0 - training/episode/reward__MIN","FuN_qbert_runseed=0 - training/episode/reward__MAX"
"2160","125","125","125"
"2392","50","50","50"
"2760","425","425","425"
"4440","50","50","50"
"4648","125","125","125"
"5040","150","150","150"
"6672","50","50","50"
"7480","150","150","150"
"8384","125","125","125"
"8728","275","275","275"
"8744","175","175","175"
"10320","250","250","250"
"11096","300","300","300"
"12984","275","275","275"
"13200","300","300","300"
"14136","200","200","200"
"14152","250","250","250"
"14200","225","225","225"
"15728","325","325","325"
"16824","275","275","275"
"17368","275","275","275"
"17664","150","150","150"
"18256","450","450","450"
"18648","125","125","125"
"18912","350","350","350"
"20856","375","375","375"
"21184","250","250","250"
"21720","350","350","350"
"21744","275","275","275"
"22336","325","325","325"
"22512","275","275","275"
"22704","450","450","450"
"23536","200","200","200"
"23856","250","250","250"
"25080","250","250","250"
"25584","350","350","350"
"26360","325","325","325"
"26424","300","300","300"
"26592","200","200","200"
"27336","350","350","350"
"27600","300","300","300"
"27824","475","475","475"
"28448","350","350","350"
"28936","250","250","250"
"29944","275","275","275"
"30000","250","250","250"
"31632","375","375","375"
"31832","200","200","200"
"32312","300","300","300"
"32592","400","400","400"
"32872","250","250","250"
"33624","325","325","325"
"34224","175","175","175"
"34504","225","225","225"
"35008","125","125","125"
"35904","625","625","625"
"36096","200","200","200"
"36416","675","675","675"
"37048","175","175","175"
"38104","350","350","350"
"38392","275","275","275"
"38520","400","400","400"
"38856","225","225","225"
"39632","375","375","375"
"41056","175","175","175"
"41400","200","200","200"
"42040","300","300","300"
"42240","975","975","975"
"42256","250","250","250"
"44272","625","625","625"
"44512","350","350","350"
"45056","225","225","225"
"45192","275","275","275"
"45304","250","250","250"
"47024","275","275","275"
"47072","250","250","250"
"47592","100","100","100"
"47600","525","525","525"
"47800","0","0","0"
"48768","325","325","325"
"50752","625","625","625"
"51032","350","350","350"
"51344","450","450","450"
"52080","275","275","275"
"52680","225","225","225"
"52696","250","250","250"
"53448","275","275","275"
"54248","75","75","75"
"55344","225","225","225"
"55464","325","325","325"
"55816","350","350","350"
"56040","200","200","200"
"57032","275","275","275"
"57840","300","300","300"
"57848","75","75","75"
"59288","425","425","425"
"59896","375","375","375"
"61608","675","675","675"
"61656","250","250","250"
"62328","300","300","300"
"63848","375","375","375"
"64136","250","250","250"
"65096","325","325","325"
"65176","275","275","275"
"65624","350","350","350"
"66096","175","175","175"
"66568","175","175","175"
"67024","125","125","125"
"67488","350","350","350"
"68288","325","325","325"
"68368","375","375","375"
"69008","50","50","50"
"69288","425","425","425"
"69832","375","375","375"
"71288","200","200","200"
"71352","250","250","250"
"72688","350","350","350"
"73320","275","275","275"
"73896","250","250","250"
"74280","225","225","225"
"75456","275","275","275"
"76240","225","225","225"
"76288","125","125","125"
"76856","150","150","150"
"77056","325","325","325"
"77792","125","125","125"
"78024","175","175","175"
"79952","300","300","300"
"79976","375","375","375"
"80160","375","375","375"
"80232","275","275","275"
"83096","525","525","525"
"83160","300","300","300"
"83624","225","225","225"
"83888","250","250","250"
"85224","300","300","300"
"85696","200","200","200"
"86104","225","225","225"
"86152","325","325","325"
"88152","275","275","275"
"88376","275","275","275"
"89056","275","275","275"
"89200","325","325","325"
"89576","150","150","150"
"90968","300","300","300"
"91856","200","200","200"
"91912","575","575","575"
"92120","125","125","125"
"93568","175","175","175"
"94984","350","350","350"
"95328","725","725","725"
"95408","700","700","700"
"96832","250","250","250"
"97984","300","300","300"
"98744","750","750","750"
"99080","450","450","450"
"99144","250","250","250"
"101320","175","175","175"
"101688","375","375","375"
"102512","675","675","675"
"102928","150","150","150"
"103088","275","275","275"
"104224","225","225","225"
"104440","325","325","325"
"104608","250","250","250"
"106176","550","550","550"
"106976","650","650","650"
"107088","75","75","75"
"107104","400","400","400"
"107384","250","250","250"
"107880","275","275","275"
"109872","150","150","150"
"110224","600","600","600"
"110512","225","225","225"
"110736","425","425","425"
"110832","775","775","775"
"111832","275","275","275"
"111856","400","400","400"
"112816","300","300","300"
"113216","400","400","400"
"115680","325","325","325"
"116240","200","200","200"
"116656","275","275","275"
"116920","75","75","75"
"118576","175","175","175"
"119136","300","300","300"
"119768","325","325","325"
"120816","225","225","225"
"122352","250","250","250"
"122376","250","250","250"
"122440","675","675","675"
"122480","675","675","675"
"122960","125","125","125"
"123424","225","225","225"
"125896","625","625","625"
"125952","350","350","350"
"125992","300","300","300"
"126096","425","425","425"
"127320","100","100","100"
"127648","200","200","200"
"129408","350","350","350"
"130944","200","200","200"
"131720","250","250","250"
