"Step","a3c_Qbert_runseed=0 - training/episode/reward","a3c_Qbert_runseed=0 - training/episode/reward__MIN","a3c_Qbert_runseed=0 - training/episode/reward__MAX"
"8864","100","100","100"
"9408","50","50","50"
"9440","200","200","200"
"9760","50","50","50"
"9984","175","175","175"
"10016","200","200","200"
"10304","100","100","100"
"10464","200","200","200"
"10720","225","225","225"
"11072","200","200","200"
"11872","250","250","250"
"12416","200","200","200"
"13056","250","250","250"
"19264","50","50","50"
"19424","0","0","0"
"19488","0","0","0"
"20320","175","175","175"
"20416","125","125","125"
"20544","175","175","175"
"21056","75","75","75"
"21376","450","450","450"
"21504","525","525","525"
"21792","250","250","250"
"22432","225","225","225"
"23392","0","0","0"
"24832","650","650","650"
"24992","300","300","300"
"26176","225","225","225"
"28576","0","0","0"
"30944","125","125","125"
"31360","0","0","0"
"31648","575","575","575"
"32000","75","75","75"
"32320","150","150","150"
"32480","500","500","500"
"32640","175","175","175"
"34240","25","25","25"
"37280","250","250","250"
"38816","125","125","125"
"39680","125","125","125"
"39872","175","175","175"
"40448","625","625","625"
"40800","500","500","500"
"40960","100","100","100"
"41888","25","25","25"
"42208","225","225","225"
"42304","225","225","225"
"42432","125","125","125"
"42912","550","550","550"
"43680","50","50","50"
"43968","200","200","200"
"45280","150","150","150"
"45920","275","275","275"
"48352","50","50","50"
"49760","75","75","75"
"50560","150","150","150"
"50784","100","100","100"
"51168","75","75","75"
"51712","75","75","75"
"51936","50","50","50"
"51968","100","100","100"
"52288","150","150","150"
"54528","250","250","250"
"54912","100","100","100"
"54944","75","75","75"
"55104","150","150","150"
"56384","550","550","550"
"56672","575","575","575"
"57024","125","125","125"
"58112","175","175","175"
"58144","100","100","100"
"58944","150","150","150"
"59200","75","75","75"
"60128","50","50","50"
"60608","75","75","75"
"61088","225","225","225"
"61216","75","75","75"
"62752","225","225","225"
"63968","450","450","450"
"64000","0","0","0"
"64576","300","300","300"
"64992","225","225","225"
"65504","225","225","225"
"66560","50","50","50"
"66848","100","100","100"
"67840","25","25","25"
"67904","150","150","150"
"68416","50","50","50"
"70080","200","200","200"
"71136","25","25","25"
"71264","175","175","175"
"71520","100","100","100"
"72928","650","650","650"
"73376","50","50","50"
"73568","200","200","200"
"75072","200","200","200"
"75296","550","550","550"
"75552","150","150","150"
"75808","300","300","300"
"76192","50","50","50"
"76352","25","25","25"
"77024","100","100","100"
"77408","75","75","75"
"77632","100","100","100"
"78784","75","75","75"
"80896","50","50","50"
"81728","150","150","150"
"81920","0","0","0"
"82080","225","225","225"
"82240","550","550","550"
"82528","200","200","200"
"83072","150","150","150"
"83936","150","150","150"
"84384","75","75","75"
"84576","100","100","100"
"84672","25","25","25"
"85280","75","75","75"
"85344","550","550","550"
"86592","125","125","125"
"86784","450","450","450"
"86912","325","325","325"
"88000","625","625","625"
"88704","200","200","200"
"89312","500","500","500"
"89568","100","100","100"
"90912","250","250","250"
"91584","175","175","175"
"92032","25","25","25"
"93056","25","25","25"
"93760","225","225","225"
"94624","100","100","100"
"94688","300","300","300"
"94752","225","225","225"
"95680","150","150","150"
"95968","0","0","0"
"96800","125","125","125"
"97280","0","0","0"
"97504","475","475","475"
"97600","175","175","175"
"98912","200","200","200"
"98976","25","25","25"
"99520","150","150","150"
"100256","50","50","50"
"100448","150","150","150"
"102784","75","75","75"
"103008","50","50","50"
"103584","0","0","0"
"103808","125","125","125"
"103904","25","25","25"
"104416","175","175","175"
"105216","0","0","0"
"106112","275","275","275"
"106208","450","450","450"
"106560","250","250","250"
"106720","100","100","100"
"106880","550","550","550"
"107616","150","150","150"
"108192","25","25","25"
"108576","75","75","75"
"109408","0","0","0"
"110112","150","150","150"
"110176","25","25","25"
"112640","75","75","75"
"112896","125","125","125"
"113440","125","125","125"
"114400","100","100","100"
"114560","50","50","50"
"115200","325","325","325"
"115424","200","200","200"
"116032","100","100","100"
"116480","425","425","425"
"117088","125","125","125"
"118272","300","300","300"
"118400","75","75","75"
"118528","425","425","425"
"120000","350","350","350"
"121856","600","600","600"
"122528","25","25","25"
"123936","150","150","150"
"124032","225","225","225"
"125152","475","475","475"
"126176","200","200","200"
"127456","250","250","250"
"128000","100","100","100"
"128576","150","150","150"
"129088","525","525","525"
"131360","275","275","275"
"132288","200","200","200"
"132736","175","175","175"
"132960","225","225","225"
"133248","175","175","175"
"133728","200","200","200"
"134048","0","0","0"
"135008","100","100","100"
"136512","650","650","650"
"136544","300","300","300"
"137216","200","200","200"
"138272","75","75","75"
"138592","50","50","50"
"139232","175","175","175"
"139872","200","200","200"
"139936","175","175","175"
"140160","50","50","50"
"141376","175","175","175"
"142368","150","150","150"
"142848","175","175","175"
"142944","200","200","200"
"143008","175","175","175"
"144544","50","50","50"
"145792","325","325","325"
"146912","150","150","150"
"146944","200","200","200"
"147072","125","125","125"
"147328","225","225","225"
"147680","350","350","350"
"148448","200","200","200"
"148512","150","150","150"
"149568","75","75","75"
"150016","50","50","50"
"150944","400","400","400"
"152320","50","50","50"
"153056","25","25","25"
"153504","150","150","150"
"153792","150","150","150"
"154240","125","125","125"
"154816","450","450","450"
"156064","0","0","0"
"157440","450","450","450"
"157984","175","175","175"
"158976","175","175","175"
"159104","200","200","200"
"159296","550","550","550"
"159776","475","475","475"
"161120","325","325","325"
"161312","25","25","25"
"162080","275","275","275"
"162176","150","150","150"
"162688","0","0","0"
"163424","725","725","725"
"164864","200","200","200"
"164992","250","250","250"
"165984","50","50","50"
"167232","50","50","50"
"168192","25","25","25"
"168512","275","275","275"
"168928","125","125","125"
"170272","150","150","150"
"170912","350","350","350"
"171616","75","75","75"
"171712","200","200","200"
"172224","25","25","25"
"173024","175","175","175"
"173088","750","750","750"
"173216","175","175","175"
"173440","125","125","125"
"174208","200","200","200"
"174368","150","150","150"
"174432","550","550","550"
"174560","550","550","550"
"175328","300","300","300"
"175456","50","50","50"
"177504","325","325","325"
"177760","50","50","50"
"177856","275","275","275"
"178240","25","25","25"
"178784","125","125","125"
"179424","75","75","75"
"180640","475","475","475"
"181248","125","125","125"
"181760","150","150","150"
"181888","275","275","275"
"182240","75","75","75"
"183808","225","225","225"
"184480","200","200","200"
"185504","175","175","175"
"185536","125","125","125"
"185824","100","100","100"
"185920","325","325","325"
"186112","275","275","275"
"186752","250","250","250"
"188000","250","250","250"
"188096","75","75","75"
"188608","225","225","225"
"189024","100","100","100"
"189088","125","125","125"
"189504","275","275","275"
"190368","50","50","50"
"191104","0","0","0"
"191296","150","150","150"
"191584","225","225","225"
"192704","225","225","225"
"194912","500","500","500"
"194976","125","125","125"
"195008","0","0","0"
"196416","250","250","250"
"197248","150","150","150"
"197376","125","125","125"
"198112","225","225","225"
"198400","200","200","200"
"198624","175","175","175"
"198752","425","425","425"
"198912","275","275","275"
"199840","200","200","200"
"201408","75","75","75"
"201440","175","175","175"
"203328","275","275","275"
"203456","250","250","250"
"204352","250","250","250"
"204416","175","175","175"
"204608","50","50","50"
"205152","325","325","325"
"205440","225","225","225"
"206240","225","225","225"
"206752","150","150","150"
"206944","100","100","100"
"206976","75","75","75"
"207040","125","125","125"
"207296","50","50","50"
"207872","300","300","300"
"207936","0","0","0"
"208416","325","325","325"
"210368","325","325","325"
"210656","200","200","200"
"210880","50","50","50"
"210976","325","325","325"
"211712","475","475","475"
"212416","200","200","200"
"214432","350","350","350"
"216640","150","150","150"
"216832","275","275","275"
"216864","125","125","125"
"217408","275","275","275"
"217760","175","175","175"
"219104","175","175","175"
"219232","200","200","200"
"219552","250","250","250"
