"Step","MDM_Qbert_80_runseed=1 - hierarchy_use/hierarchy_selected_3","MDM_Qbert_80_runseed=1 - hierarchy_use/hierarchy_selected_3__MIN","MDM_Qbert_80_runseed=1 - hierarchy_use/hierarchy_selected_3__MAX","MDM_Qbert_80_runseed=0 - hierarchy_use/hierarchy_selected_3","MDM_Qbert_80_runseed=0 - hierarchy_use/hierarchy_selected_3__MIN","MDM_Qbert_80_runseed=0 - hierarchy_use/hierarchy_selected_3__MAX","MDM_Qbert_80 - hierarchy_use/hierarchy_selected_3","MDM_Qbert_80 - hierarchy_use/hierarchy_selected_3__MIN","MDM_Qbert_80 - hierarchy_use/hierarchy_selected_3__MAX"
"12224","0.375","0.375","0.375","","","","","",""
"12544","","","","0.34375","0.34375","0.34375","","",""
"12608","","","","","","","0.498046875","0.498046875","0.498046875"
"24288","0.375","0.375","0.375","","","","","",""
"24416","","","","","","","0.546875","0.546875","0.546875"
"25568","","","","0.5546875","0.5546875","0.5546875","","",""
"35840","","","","","","","0.4375","0.4375","0.4375"
"37280","0","0","0","","","","","",""
"38336","","","","0.625","0.625","0.625","","",""
"51008","0.375","0.375","0.375","","","","","",""
"51040","","","","","","","0.625","0.625","0.625"
"51168","","","","0.625","0.625","0.625","","",""
"63360","","","","","","","0.625","0.625","0.625"
"63616","0.1875","0.1875","0.1875","","","","","",""
"63968","","","","0.8125","0.8125","0.8125","","",""
"75936","0","0","0","","","","","",""
"76416","","","","1","1","1","","",""
"76704","","","","","","","1","1","1"
"88928","","","","1","1","1","","",""
"89376","0.1875","0.1875","0.1875","","","","","",""
"89440","","","","","","","0.8125","0.8125","0.8125"
"101824","","","","1","1","1","","",""
"102272","0","0","0","","","","","",""
"102368","","","","","","","1","1","1"
"114560","","","","","","","1","1","1"
"114656","0","0","0","","","","","",""
"114912","","","","1","1","1","","",""
"127168","","","","","","","0.9375","0.9375","0.9375"
"127200","0.1875","0.1875","0.1875","","","","","",""
"127872","","","","0.75","0.75","0.75","","",""
"140704","","","","0.875","0.875","0.875","","",""
"140768","0","0","0","","","","0.875","0.875","0.875"
"153184","0.5625","0.5625","0.5625","","","","","",""
"153376","","","","","","","0.8125","0.8125","0.8125"
"153440","","","","0.8125","0.8125","0.8125","","",""
"165440","","","","0.625","0.625","0.625","","",""
"165760","","","","","","","1","1","1"
"166208","0.375","0.375","0.375","","","","","",""
"178048","","","","","","","1","1","1"
"178560","0.1875","0.1875","0.1875","","","","","",""
"179168","","","","1","1","1","","",""
"191136","0","0","0","","","","","",""
"191488","","","","","","","0.8125","0.8125","0.8125"
"191904","","","","1","1","1","","",""
"204384","","","","1","1","1","","",""
"204416","0.0625","0.0625","0.0625","","","","","",""
"204576","","","","","","","1","1","1"
"217184","0.3125","0.3125","0.3125","","","","","",""
"217408","","","","","","","1","1","1"
"217440","","","","1","1","1","","",""
"230080","","","","0.8125","0.8125","0.8125","","",""
"230176","","","","","","","0.8125","0.8125","0.8125"
"230272","0","0","0","","","","","",""
"241312","","","","","","","0.625","0.625","0.625"
"242496","","","","0.625","0.625","0.625","","",""
"243104","0.1875","0.1875","0.1875","","","","","",""
"255840","","","","1","1","1","1","1","1"
"255968","0","0","0","","","","","",""
"268480","0","0","0","","","","","",""
"268544","","","","1","1","1","","",""
"268640","","","","","","","1","1","1"
"281024","0","0","0","","","","","",""
"281184","","","","1","1","1","","",""
"281408","","","","","","","1","1","1"
"293664","","","","","","","0.8125","0.8125","0.8125"
"293856","","","","1","1","1","","",""
"294080","0","0","0","","","","","",""
"306592","","","","0.982421875","0.982421875","0.982421875","","",""
"306656","0","0","0","","","","","",""
"306944","","","","","","","0.98828125","0.98828125","0.98828125"
"318560","0","0","0","","","","","",""
"319744","","","","","","","1","1","1"
"319904","","","","1","1","1","","",""
"332672","0.125","0.125","0.125","","","","","",""
"332704","","","","1","1","1","1","1","1"
"344832","","","","","","","1","1","1"
"344960","","","","1","1","1","","",""
"345120","0.25","0.25","0.25","","","","","",""
"358176","","","","0.8125","0.8125","0.8125","","",""
"358208","","","","","","","1","1","1"
"358368","0.0625","0.0625","0.0625","","","","","",""
"370656","","","","1","1","1","","",""
"370752","0.125","0.125","0.125","","","","","",""
"370816","","","","","","","0.994140625","0.994140625","0.994140625"
"383648","0.1875","0.1875","0.1875","1","1","1","","",""
"383808","","","","","","","1","1","1"
"396320","","","","0.8125","0.8125","0.8125","0.806640625","0.806640625","0.806640625"
"396544","0","0","0","","","","","",""
"408544","0.1875","0.1875","0.1875","","","","","",""
"408928","","","","","","","1","1","1"
"409440","","","","0.8125","0.8125","0.8125","","",""
"421536","0.1875","0.1875","0.1875","","","","","",""
"422144","","","","0.8125","0.8125","0.8125","","",""
"422336","","","","","","","1","1","1"
"434624","","","","0.982421875","0.982421875","0.982421875","","",""
"434816","0.1875","0.1875","0.1875","","","","","",""
"435168","","","","","","","1","1","1"
"445280","","","","0.796875","0.796875","0.796875","","",""
