"Step","MDM_3 - hierarchy_use/hierarchy_selected_5","MDM_3 - hierarchy_use/hierarchy_selected_5__MIN","MDM_3 - hierarchy_use/hierarchy_selected_5__MAX","MDM_2 - hierarchy_use/hierarchy_selected_5","MDM_2 - hierarchy_use/hierarchy_selected_5__MIN","MDM_2 - hierarchy_use/hierarchy_selected_5__MAX","MDM_1 - hierarchy_use/hierarchy_selected_5","MDM_1 - hierarchy_use/hierarchy_selected_5__MIN","MDM_1 - hierarchy_use/hierarchy_selected_5__MAX"
"12640","","","","","","","0.94140625","0.94140625","0.94140625"
"19744","","","","0.9125000238418579","0.9125000238418579","0.9125000238418579","","",""
"19776","0.9549999833106995","0.9549999833106995","0.9549999833106995","","","","","",""
"24288","","","","","","","1","1","1"
"37856","","","","","","","1","1","1"
"39680","0.10624999552965164","0.10624999552965164","0.10624999552965164","","","","","",""
"39744","","","","0.09375","0.09375","0.09375","","",""
"50784","","","","","","","1","1","1"
"59552","0","0","0","","","","","",""
"59936","","","","0","0","0","","",""
"63648","","","","","","","1","1","1"
"76320","","","","","","","1","1","1"
"77760","0","0","0","","","","","",""
"79648","","","","0","0","0","","",""
"89568","","","","","","","1","1","1"
"97888","0.021250000223517418","0.021250000223517418","0.021250000223517418","","","","","",""
"99744","","","","0","0","0","","",""
"101856","","","","","","","1","1","1"
"115008","","","","","","","1","1","1"
"119616","0.0612499974668026","0.0612499974668026","0.0612499974668026","0","0","0","","",""
"127104","","","","","","","1","1","1"
"139584","","","","0.20000000298023224","0.20000000298023224","0.20000000298023224","","",""
"139936","0.0625","0.0625","0.0625","","","","","",""
"140544","","","","","","","0.98828125","0.98828125","0.98828125"
"153248","","","","","","","1","1","1"
"158880","","","","0","0","0","","",""
"159936","0.08749999850988388","0.08749999850988388","0.08749999850988388","","","","","",""
"166176","","","","","","","1","1","1"
"178592","","","","","","","1","1","1"
"179840","","","","0","0","0","","",""
"179936","0.09375","0.09375","0.09375","","","","","",""
"191744","","","","","","","1","1","1"
"196480","0.2199999988079071","0.2199999988079071","0.2199999988079071","","","","","",""
"199744","","","","0","0","0","","",""
"203840","","","","","","","1","1","1"
"216672","","","","","","","1","1","1"
"219744","","","","0","0","0","","",""
"219968","0.7249999642372131","0.7249999642372131","0.7249999642372131","","","","","",""
"229632","","","","","","","1","1","1"
"239520","","","","0","0","0","","",""
"239936","0.9712499976158142","0.9712499976158142","0.9712499976158142","","","","","",""
"241760","","","","","","","1","1","1"
"255968","","","","","","","1","1","1"
"258432","","","","0","0","0","","",""
"259776","0.9962499737739563","0.9962499737739563","0.9962499737739563","","","","","",""
"267680","","","","","","","1","1","1"
"279648","","","","0","0","0","","",""
"279904","0.98499995470047","0.98499995470047","0.98499995470047","","","","","",""
"281536","","","","","","","1","1","1"
"293824","","","","","","","1","1","1"
"299072","","","","0","0","0","","",""
"299872","0.9887499809265137","0.9887499809265137","0.9887499809265137","","","","","",""
"306560","","","","","","","1","1","1"
"319712","0.9887499809265137","0.9887499809265137","0.9887499809265137","","","","","",""
"319744","","","","0","0","0","","",""
"319776","","","","","","","1","1","1"
"331328","","","","","","","1","1","1"
"338976","","","","0.20000000298023224","0.20000000298023224","0.20000000298023224","","",""
"339968","0.9137499928474426","0.9137499928474426","0.9137499928474426","","","","","",""
"345440","","","","","","","1","1","1"
"358048","","","","","","","1","1","1"
"358368","0.8537499904632568","0.8537499904632568","0.8537499904632568","","","","","",""
"359520","","","","0","0","0","","",""
"370368","","","","","","","1","1","1"
"379648","","","","0","0","0","","",""
"379744","0.8725000023841858","0.8725000023841858","0.8725000023841858","","","","","",""
"382176","","","","","","","1","1","1"
"396416","","","","","","","1","1","1"
"399552","","","","0","0","0","","",""
"399840","0.9024999737739563","0.9024999737739563","0.9024999737739563","","","","","",""
"409408","","","","","","","1","1","1"
"417984","","","","0","0","0","","",""
"419392","0.9174999594688416","0.9174999594688416","0.9174999594688416","","","","","",""
"421824","","","","","","","1","1","1"
"435104","","","","","","","0.994140625","0.994140625","0.994140625"
"439680","0.9649999737739563","0.9649999737739563","0.9649999737739563","","","","","",""
"439776","","","","0.0062500000931322575","0.0062500000931322575","0.0062500000931322575","","",""
"447968","","","","","","","1","1","1"
"459936","0.9712499976158142","0.9712499976158142","0.9712499976158142","0","0","0","","",""
"460576","","","","","","","1","1","1"
"473184","","","","","","","1","1","1"
"479840","","","","0","0","0","","",""
"479872","1","1","1","","","","","",""
"486112","","","","","","","1","1","1"
"499008","","","","","","","1","1","1"
"499392","","","","0","0","0","","",""
"499872","1","1","1","","","","","",""
"510272","","","","","","","0.98828125","0.98828125","0.98828125"
"519392","","","","0","0","0","","",""
"519744","1","1","1","","","","","",""
"522880","","","","","","","1","1","1"
"536320","","","","","","","1","1","1"
"539264","1","1","1","","","","","",""
